t_low,t_high,fraud_loss,customer_loss,op_cost,total_cost,savings,effective_recall,n_challenged,n_blocked,challenge_rate,block_rate,legit_challenged,legit_blocked
0.06,0.30000000000000004,1938520.76375,159249921.75959998,261075.0,161449517.52334997,-103509098.96334997,0.9557332677165354,52215,22312,0.44209537033901175,0.18891184339756834,51649,18909
0.06,0.32,2137472.0045,148208027.69344002,269105.0,150614604.69794002,-92674186.13794002,0.9532972440944881,53821,20706,0.4556930944559217,0.17531411928065838,53189,17369
0.06,0.34,2247425.37425,138494569.58996,276475.0,141018469.96421,-83078051.40421,0.9515994094488189,55295,19232,0.46817319741253766,0.1628340163240424,54617,15941
0.06,0.36000000000000004,2368729.3175,130121239.87064001,282805.0,132772774.18814,-74832355.62814,0.9498646653543307,56561,17966,0.47889220035899344,0.15211501337758662,55836,14722
0.06,0.38,2442698.7005,122558222.04356,288625.0,125289545.74406,-67349127.18405999,0.9484621062992127,57725,16802,0.48874758695431303,0.14225962678226708,56962,13596
0.06,0.4,2527044.13025,115435588.05192003,294145.0,118256777.18217003,-60316358.62217003,0.9466904527559055,58829,15698,0.4980949639313171,0.13291224980526298,58018,12540
0.06,0.42000000000000004,2648871.95975,109686438.51860002,299020.0,112634330.47835001,-54693911.91835001,0.9448818897637795,59804,14723,0.506350120228943,0.12465709350763708,58944,11614
0.06,0.44,2738515.32575,103567361.63932,303910.0,106609786.96507,-48669368.40506999,0.9428518700787402,60782,13745,0.5146306770074847,0.1163765367290954,59867,10691
0.06,0.46,2916501.1399999997,97882485.83048001,308465.0,101107451.97048001,-43167033.41048001,0.9405265748031496,61693,12834,0.5223439563789074,0.10866325735767264,60715,9843
0.06,0.48000000000000004,3012445.8612499996,93067244.41108,312535.0,96392225.27233,-38451806.71233,0.9385334645669291,62507,12020,0.5292359535340536,0.1017712602025265,61475,9083
0.06,0.5,3152316.536,88227127.68620001,316495.0,91695939.2222,-33755520.662200004,0.9360236220472441,63299,11228,0.5359416804958174,0.0950655332407627,62199,8359
0.06,0.52,3286335.602,82795954.00956002,320350.0,86402639.61156002,-28462221.051560014,0.9339566929133858,64070,10457,0.5424696040911708,0.08853760964540928,62914,7644
0.06,0.54,3443358.4834999996,77853128.58444001,324010.0,81620497.06794001,-23680078.50794001,0.931373031496063,64802,9725,0.5486673214346192,0.08233989230196091,63576,6982
0.06,0.56,3638740.68125,73455859.46504,327500.0,77422100.14629,-19481681.586290002,0.9289000984251969,65500,9027,0.5545771666610221,0.07643004707555796,64207,6351
0.06,0.5800000000000001,3846967.9685,69325931.70988,330600.0,73503499.67838,-15563081.118379995,0.9264271653543307,66120,8407,0.559826599383615,0.07118061435296508,64760,5798
0.06,0.6,3991555.628,65500112.956039995,333425.0,69825093.58404,-11884675.024039999,0.9241756889763779,66685,7842,0.564610356622752,0.06639685711382802,65264,5294
0.06,0.62,4127230.022,61702015.16064,336320.0,66165565.18264,-8225146.622639999,0.9217027559055119,67264,7263,0.5695126494394961,0.061494564297084026,65776,4782
0.06,0.64,4295307.139250001,58582322.46836,338955.0,63216584.60761,-5276166.04761,0.9191929133858268,67791,6736,0.5739746672537,0.05703254648288007,66235,4323
0.06,0.66,4479731.15075,55092196.690840006,341635.0,59913562.84159,-1973144.2815899998,0.9164616141732284,68327,6200,0.5785128865106512,0.05249432722592881,66697,3861
0.06,0.68,4612742.60975,51555038.0552,344075.0,56511855.664950006,1428562.8950499967,0.91439468503937,68815,5712,0.5826446980729502,0.048362515663629896,67129,3429
0.06,0.7000000000000001,4862998.012999999,48238859.770040005,346685.0,53448542.78304,4491875.77696,0.9114050196850393,69337,5190,0.5870643817522945,0.04394283198428557,67570,2988
0.06,0.7200000000000001,5099419.9399999995,45109422.68444,349065.0,50557907.62444,7382510.935560003,0.9081200787401574,69813,4714,0.5910945913909303,0.03991262234564975,67957,2601
0.06,0.74,5346408.014,42088748.7798,351180.0,47786336.7938,10154081.766200006,0.9052042322834646,70236,4291,0.5946760592000542,0.03633115453652589,68301,2257
0.06,0.76,5611529.580499999,39227928.965720005,353405.0,45192863.546220005,12747555.013779998,0.9018454724409448,70681,3846,0.5984437972025604,0.03256341653401971,68655,1903
0.06,0.78,5887391.46125,36764792.82196,355220.0,43007404.28321,14933014.27679,0.8987450787401575,71044,3483,0.6015172553933688,0.0294899583432113,68934,1624
0.06,0.8,6119074.354250001,34527952.03636,357140.0,41004166.39061,16936252.16939,0.8954232283464567,71428,3099,0.6047685169505876,0.026238696785992482,69228,1330
0.06,0.8200000000000001,6360485.50325,32691570.18056,358775.0,39410830.68381,18529587.87619,0.892433562992126,71755,2772,0.6075371693704067,0.023470044366173334,69474,1084
0.06,0.8400000000000001,6655510.357249999,30746358.41116,360440.0,37762308.76841,20178109.791590005,0.8891486220472441,72088,2439,0.6103566227520575,0.02065059098452264,69718,840
0.06,0.86,6937305.878,28879367.509400003,362035.0,36178708.3874,21761710.1726,0.8850885826771654,72407,2120,0.6130575405561012,0.017949673180478885,69927,631
0.06,0.88,7212037.864999999,27774017.225399997,363235.0,35349290.090399995,22591128.469600007,0.8820620078740157,72647,1880,0.615089579029363,0.01591763470721712,70085,473
0.06,0.9,7544485.387250001,26850639.36104,364430.0,34759554.74829,23180863.81171,0.878001968503937,72886,1641,0.6171131506756528,0.013894063060927287,70214,344
0.06,0.92,7691592.8735,26050166.16092,365425.0,34107184.03442,23833234.525580004,0.8742002952755905,73085,1442,0.6187980492430657,0.01220916449351441,70310,248
0.06,0.9400000000000001,7960051.46,25536264.731119998,366450.0,33862766.19112,24077652.368880004,0.8695497047244094,73290,1237,0.62053374877231,0.01047346496426999,70389,169
0.06,0.9600000000000001,8241097.88825,25334175.45392,367505.0,33942778.34217,23997640.217830002,0.8638287401574803,73501,1026,0.622320249263386,0.008686964473194026,70445,113
0.06,0.98,8692959.4385,25194457.28576,369640.0,34257056.72426,23683361.83574,0.8502829724409449,73928,599,0.6259355843803976,0.005071629356182477,70505,53
0.08,0.08,1261595.945,405619439.31200004,0.0,406881035.257,-348940616.697,0.9655511811023622,0,64225,0.0,0.543781962271819,0,60301
0.08,0.1,1362032.3795,366038272.71728,39825.0,367440130.09677994,-309499711.53677994,0.9634104330708662,7965,56260,0.06743827683137467,0.47634368544044436,7907,52394
0.08,0.12000000000000001,1484377.47425,330125643.466,72450.0,331682470.94025004,-273742052.38025004,0.9617125984251969,14490,49735,0.12268432282317879,0.4210976394486402,14386,45915
0.08,0.13999999999999999,1562531.76275,300026238.05675995,98705.0,301687474.81951,-243747056.25950998,0.9597563976377952,19741,44484,0.16714363125275172,0.3766383310190673,19584,40717
0.08,0.16,1625208.7115,272551947.18372,120935.0,274298090.89522,-216357672.33521998,0.9578001968503937,24187,40038,0.20478714396992584,0.3389948183018932,23977,36324
0.08,0.18,1702468.64525,249895468.94192,139340.0,251737277.58717,-193796859.02717,0.9561392716535433,27868,36357,0.23595353405357808,0.3078284282182409,27613,32688
0.08,0.19999999999999998,1802361.66725,228410756.34876,155370.0,230368488.01601002,-172428069.45601,0.9543676181102363,31074,33151,0.26309818132556645,0.28068378094625257,30771,29530
0.08,0.22,1899968.2295,209420245.05644003,169200.0,211489413.28594002,-153548994.72594002,0.9527066929133858,33840,30385,0.2865174247299082,0.2572645375419108,33492,26809
0.08,0.24,2043269.70725,193974123.467,180940.0,196198333.17425,-138257914.61425,0.9510826771653543,36188,28037,0.3063975344599858,0.23738442781183325,35796,24505
0.08,0.26,2113658.00825,180395419.02679998,191310.0,182700387.03504997,-124759968.47504997,0.9497908464566929,38262,25963,0.32395773359975616,0.21982422867206286,37835,22466
0.08,0.28,2207698.841,167191508.102,201035.0,169600241.943,-111659823.38299999,0.9481668307086614,40207,24018,0.3404257120601483,0.20335625021167067,39736,20565
0.08,0.30000000000000004,2334640.90025,156571215.32724,209565.0,159115421.22748998,-101175002.66748998,0.9463213582677165,41913,22312,0.3548701188742507,0.18891184339756834,41392,18909
0.08,0.32,2533592.141,145529321.26108,217595.0,148280508.40208,-90340089.84208,0.9438853346456693,43519,20706,0.36846784299116064,0.17531411928065838,42932,17369
